qp,job,qp_NSQF,qp_sector,similarity
Metal Fabricator - Iron and Steel,Welder and fitter,4.0,Iron and Steel,0.5943657159805298
Fitter Spinning Preparatory,Mechanical fitter,4.0,Textile,0.5933668613433838
Shuttle Loom Operator cum Pirn Winder,Mechanical fitter,3.0,Textile,0.5927766561508179
Textile Printing Machine Operator,Mechanical fitter,2.0,Textile,0.5911867618560791
Home Stay Host,Hotel front desk clerk,5.0,Tourism & Hospitality,0.5911478996276855
Solar PV Cell Manufacturing Technician,Solar PV installer,4.0,Green Jobs,0.5909320116043091
Food & Beverage Controller,Forklift operator,6.0,Tourism & Hospitality,0.5907434821128845
Jute Products Artisan,Mechanical fitter,3.5,Handicrafts and Carpet,0.5905325412750244
Guest Service Executive (Front Office),Hotel front desk clerk,4.5,Tourism & Hospitality,0.590454638004303
Welder - (GTAW),Welder and fitter,4.0,Iron and Steel,0.5903974771499634
Junior Technician- Solar Cold Storage,Solar technician,3.0,Green Jobs,0.5877655148506165
Latexing Man (Carpets),Mechanical fitter,2.5,Handicrafts and Carpet,0.587618887424469
Embossing Artisan (Metalware),Mechanical fitter,2.5,Handicrafts and Carpet,0.5876084566116333
Manufacturing Team Challenge,Welder and fitter,4.5,Automotive,0.5872989892959595
Bulldozer  Operator,Truck driver,4.0,Mining,0.5861523747444153
Silver Coating-Junior Technician (Glassware),Mechanical fitter,3.0,Handicrafts and Carpet,0.5860395431518555
Grain Mill Operator,Mechanical fitter,3.0,Food Processing,0.5853641033172607
Production Manager,Mechanical fitter,7.0,Food Processing,0.5850623250007629
Solar PV Project Manager (E&C),Solar PV installer,7.0,Green Jobs,0.584907591342926
Shuttleless Loom Operator,Mechanical fitter,3.0,Textile,0.5843042135238647
Fortified Rice Technician,Mechanical fitter,4.0,Food Processing,0.5841661691665649
Transport Coordinator-Tourism and Hospitality,Truck driver,4.0,Tourism & Hospitality,0.5841418504714966
Autoconer Tenter,Mechanical fitter,3.0,Textile,0.5840953588485718
Preservation Technician-Fruits and Vegetables,Forklift operator,4.0,Food Processing,0.5840049982070923
Food Packer,Forklift operator,2.0,Food Processing,0.5834179520606995
Automotive Forging Technician,Mechanical fitter,4.0,Automotive,0.5829817652702332
Loom Supervisor  Knotted Carpet,Mechanical fitter,3.5,Handicrafts and Carpet,0.5829043388366699
Warper - Direct Warping Machine,Mechanical fitter,3.0,Textile,0.5826437473297119
Food Products Packaging Technician,Mechanical fitter,4.0,Food Processing,0.582344651222229
O&M Mechanical Technician-Wind Power Plant,Solar PV installer,4.0,Green Jobs,0.582312822341919
Industrial Baker,Mechanical fitter,4.0,Food Processing,0.5822820663452148
Fitter - Post Spinning,Mechanical fitter,4.0,Textile,0.5817013382911682
Supervisor-Food Processing Industries,Forklift operator,5.0,Food Processing,0.5816474556922913
Traditional Sweet and Savoury Product Maker,Mechanical fitter,3.0,Food Processing,0.5815480351448059
Plant Head – Operations (Compressed Biogas/Waste to Energy),Mechanical fitter,7.0,Green Jobs,0.5815229415893555
O&M Electrical & Instrumentation Technician- Wind Power Plant,Solar PV installer,4.0,Green Jobs,0.5805661678314209
Purchase Assistant  Food and Agricultural Commodities,Forklift operator,3.0,Food Processing,0.5804063677787781
Forklift Operator/Driver,Truck driver,3.0,Automotive,0.5795624852180481
Store Assistant-Food Manufacturing Facility,Forklift operator,3.0,Food Processing,0.5782938003540039
Driver Special Utility Vehicle,Automotive technician,4.0,Mining,0.5781106352806091
Artisanal Chocolate Maker-Entrepreneur,Mechanical fitter,4.0,Food Processing,0.5774229764938354
Color Quality Incharge/Shade Supervisor (Carpets),Mechanical fitter,3.5,Handicrafts and Carpet,0.5768851041793823
Project Assistant Planner - Wind Power Plant,Solar technician,3.0,Green Jobs,0.5760380029678345
Concierge Manager,Hotel front desk clerk,6.0,Tourism & Hospitality,0.5759854316711426
Mine  Electrician,Solar technician,4.0,Mining,0.5758827328681946
Transport Duty Manager,Truck driver,6.0,Tourism & Hospitality,0.5757671594619751
Solar Manufacturing Junior Technician,Solar technician,3.0,Green Jobs,0.57575523853302
Project Assistant Planner - Wind Power Plant,Solar PV installer,3.0,Green Jobs,0.5756365060806274
Guest Service  Associate (Food & Beverage),Hotel front desk clerk,4.0,Tourism & Hospitality,0.5749506950378418
Food & Beverage Service Trainee,Hotel front desk clerk,3.0,Tourism & Hospitality,0.5749114751815796
Speed Frame Operator - Tenter and Doffer,Mechanical fitter,3.0,Textile,0.5746083855628967
Fruits and Vegetables Selection In-Charge,Mechanical fitter,3.0,Food Processing,0.5745134949684143
Automotive Casting Technician,Mechanical fitter,4.0,Automotive,0.5743688941001892
Solar Domestic Product Assembler,Solar technician,2.5,Green Jobs,0.5742480754852295
Cutting and Threading Operator (Metalware),Mechanical fitter,2.5,Handicrafts and Carpet,0.5739673376083374
Taxi Driver,Truck driver,3.0,Automotive,0.5738787651062012
Industrial Production Worker,Mechanical fitter,2.0,Food Processing,0.5735181570053101
Quality Checker (Fashion Jewellery),Mechanical fitter,3.5,Handicrafts and Carpet,0.5734320878982544
Traditional Sweet and Savoury Product Maker,Forklift operator,3.0,Food Processing,0.5733475685119629
Automotive Welding Machine Master Technician,Mechanical fitter,6.0,Automotive,0.573053240776062
Commercial Vehicle Driver,Truck driver,3.0,Automotive,0.5728049278259277
Front Office Manager,Hotel front desk clerk,7.0,Tourism & Hospitality,0.5727952718734741
Ambulance Driver,Truck driver,4.0,Automotive,0.5726551413536072
Automotive Machining Master Technician,Mechanical fitter,6.0,Automotive,0.5718397498130798
Front Office Assistant,Hotel front desk clerk,3.0,Tourism & Hospitality,0.5717421174049377
Auto Rickshaw Driver,Truck driver,4.0,Automotive,0.5716230869293213
Embossing Artisan (Metalware),Forklift operator,2.5,Handicrafts and Carpet,0.5715208649635315
Tufted Weaving Assistant Supervisor (Carpets),Mechanical fitter,4.5,Handicrafts and Carpet,0.571442186832428
Material Preparation Worker (Ceramics),Mechanical fitter,2.5,Handicrafts and Carpet,0.5713629126548767
Fruits and Vegetables Selection In-Charge,Forklift operator,3.0,Food Processing,0.5713562965393066
Naturalist (wildlife tourism),Hotel front desk clerk,4.5,Tourism & Hospitality,0.5713115930557251
Spice Processing Technician,Mechanical fitter,3.0,Food Processing,0.5705928802490234
Food Product Handler,Mechanical fitter,2.0,Food Processing,0.5704607367515564
Fish and Sea food  Processor,Mechanical fitter,2.0,Food Processing,0.5699155330657959
Tufting Gun Operator (Carpets),Mechanical fitter,3.0,Handicrafts and Carpet,0.569759726524353
Acid Cleaner (Metalware),Welder and fitter,3.0,Handicrafts and Carpet,0.5694200992584229
Two Shaft Handloom Weaver,Mechanical fitter,3.0,Textile,0.5692838430404663
Commis,Hotel front desk clerk,4.0,Tourism & Hospitality,0.5689573287963867
Design Marker - Stonecraft,Mechanical fitter,3.5,Handicrafts and Carpet,0.5689429044723511
Jumbo Drill Operator,Mechanical fitter,4.0,Mining,0.568688154220581
Packing Machine Worker  Food Processing,Forklift operator,3.0,Food Processing,0.568345308303833
Jute Products Stitching Operator,Mechanical fitter,3.0,Handicrafts and Carpet,0.5683112144470215
Traditional Snack and Savoury Maker,Mechanical fitter,3.0,Food Processing,0.5680015087127686
Food Products Packaging Technician,Forklift operator,4.0,Food Processing,0.5679879188537598
Oil Extraction and Refining Technician,Mechanical fitter,4.0,Food Processing,0.5679200887680054
Packing Machine Worker-Food Processing,Forklift operator,3.0,Food Processing,0.5677300691604614
Revenue Manager,Hotel front desk clerk,5.5,Tourism & Hospitality,0.5675805807113647
Electrician (Mineral Sands),Electrician,4.5,Mining,0.5665834546089172
Finished Package Checker-cum-Packer  - Spinning,Forklift operator,3.0,Textile,0.566463828086853
Industry 4.0,Solar PV installer,4.5,Automotive,0.566449761390686
Automotive Prototype Manufacturing Lead Technician,Mechanical fitter,4.5,Automotive,0.5661320686340332
Convenience Food Maker-Ready To Eat and Instant Food,Mechanical fitter,4.0,Food Processing,0.5659215450286865
Fleet Telematic Executive,Truck driver,4.0,Automotive,0.5659165978431702
Dairy Processing Equipment Operator,Mechanical fitter,4.0,Food Processing,0.5655877590179443
Preservation Technician-Fruits and Vegetables,Mechanical fitter,4.0,Food Processing,0.5654598474502563
Guest Service Associate (Housekeeping),Hotel front desk clerk,4.0,Tourism & Hospitality,0.5652596354484558
Cutting and Threading Operator (Metalware),Electrician,2.5,Handicrafts and Carpet,0.5650883913040161
Quality checker - Stonecraft,Mechanical fitter,3.5,Handicrafts and Carpet,0.5647733211517334
Electrician (Mineral Sands),Solar technician,4.5,Mining,0.5647199153900146
Electric Vehicle Service Assistant,Electrician,3.0,Automotive,0.5643628835678101
Light Motor Vehicle Driver,Truck driver,2.5,Automotive,0.563228964805603
Manufacturing Team Challenge,Mechanical fitter,4.5,Automotive,0.5629942417144775
Executive Housekeeper,Mechanical fitter,6.0,Tourism & Hospitality,0.5626450777053833
Mine Mechanic/Fitter,Mechanical fitter,4.0,Mining,0.5621669292449951
Automotive Sales Assistant,Mechanical fitter,2.5,Automotive,0.5619438290596008
Butter and Ghee Processing Operator,Mechanical fitter,3.0,Food Processing,0.561887264251709
Quality Check Technician (Ceramics),Mechanical fitter,3.5,Handicrafts and Carpet,0.5617324709892273
Restaurant Captain,Mechanical fitter,5.0,Tourism & Hospitality,0.5615429878234863
Automotive Material Handling Assistant,Mechanical fitter,2.0,Automotive,0.5612231492996216
Construction Technician-Wind Power Plant,Solar PV installer,4.0,Green Jobs,0.5604162812232971
Automotive Tool Room Technician,Mechanical fitter,3.5,Automotive,0.5601100921630859
Baking Technician/Operative,Mechanical fitter,3.0,Food Processing,0.5600968599319458
Fish and Sea food  Processor,Forklift operator,2.0,Food Processing,0.5596439838409424
Automotive Assembly Assistant,Mechanical fitter,2.0,Automotive,0.5593883395195007
Supervisor- Operations and Maintenance  (Compressed Biogas/Waste to Energy),Mechanical fitter,5.0,Green Jobs,0.5593145489692688
Construction Technician-Wind Power Plant,Solar technician,4.0,Green Jobs,0.5592167973518372
Crochet Lace Tailor,Welder and fitter,3.0,Handicrafts and Carpet,0.5588048100471497
Welding,Welder and fitter,4.5,Automotive,0.5584663152694702
Assistant - Electrician,Mechanical fitter,3.0,Iron and Steel,0.5583049654960632
HEMM Electrician,Electrician,4.0,Mining,0.5580496788024902
Additive Manufacturing,Welder and fitter,4.5,Automotive,0.5578306913375854
Baking Assistant,Forklift operator,2.5,Food Processing,0.5577185153961182
Green Hydrogen Plant Junior Technician - Power Sources,Solar PV installer,3.0,Green Jobs,0.5577131509780884
Oil Extraction and Refining Technician,Forklift operator,4.0,Food Processing,0.5571893453598022
Textile Processing Preparatory Operator,Mechanical fitter,2.0,Textile,0.5571640729904175
Driver Special Utility Vehicle,Electrician,4.0,Mining,0.5568892955780029
Design Marker - Stonecraft,Forklift operator,3.5,Handicrafts and Carpet,0.5568013191223145
Assistant Mechanic - Bearing Maintenance,Mechanical fitter,3.0,Iron and Steel,0.5564848184585571
Robot Systems Integration,Solar PV installer,4.5,Automotive,0.5564800500869751
Solar Manufacturing Junior Technician,Solar PV installer,3.0,Green Jobs,0.5562334656715393
Transport Duty Manager,Mechanical fitter,6.0,Tourism & Hospitality,0.556200385093689
